,72703,72711,72712,72713,KFVE0
2006-03-28,0,0,0,0,0
2006-03-29,0,0,0,0,0
2006-03-30,0,0,0,0,0
2006-03-31,0,0,0,0,0
2006-04-01,4.230000019073486,4.429999828338623,3.299999952316284,3.2899999618530273,2.369999885559082
2006-04-02,4.489999771118164,0,5.059999942779541,5.96999979019165,0
2006-04-03,0,0,0,0,0
2006-04-04,3.859999895095825,7.070000171661377,5.230000019073486,5.190000057220459,4.889999866485596
2006-04-05,5.78000020980835,3.880000114440918,1.909999966621399,2.869999885559082,1.7300000190734863
2006-04-06,3.2300000190734863,0,2.0299999713897705,2.25,1.4700000286102295
2006-04-07,0,4.659999847412109,3.2899999618530273,3.4000000953674316,2.130000114440918
2006-04-08,0,0,1.8799999952316284,0,0
2006-04-09,0,0,0,0,0
2006-04-10,0,0,0,0,0
2006-04-11,0,0,0,0,0
2006-04-12,0,0,0,0,0
2006-04-13,0,1.8200000524520874,0,0,0
2006-04-14,0,0,0,0,0
2006-04-15,21.729999542236328,13.930000305175781,16.600000381469727,17.450000762939453,17.34000015258789
2006-04-16,6.300000190734863,11.069999694824219,4.989999771118164,5.75,3.9100000858306885
2006-04-17,3,2.7200000286102295,2,2.990000009536743,0.6100000143051147
2006-04-18,0,0,0,0,0
2006-04-19,0,0,0,0,0
2006-04-20,0.8799999952316284,0,0,0,0
2006-04-21,0,0,0,0,0
2006-04-22,0,0,0,0,0
2006-04-23,0,0,0,0,0
2006-04-24,1.7899999618530273,3.8399999141693115,3.309999942779541,3.069999933242798,4.320000171661377
2006-04-25,2.5899999141693115,2.3299999237060547,2.9600000381469727,2.759999990463257,3.700000047683716
2006-04-26,1.9199999570846558,1.8300000429153442,0.6499999761581421,0.8299999833106995,1.2799999713897705
2006-04-27,0,0,0,0,0
2006-04-28,0,0,0,0,0
2006-04-29,0,0,0,0,0
2006-04-30,0,0,0,0,0
2006-05-01,12.529999732971191,4.050000190734863,0,0,0
2006-05-02,15.869999885559082,12.289999961853027,11,12.84000015258789,10.1899995803833
2006-05-03,0,0,0,0,0
2006-05-04,0,4.929999828338623,0,0,5.03000020980835
2006-05-05,2.690000057220459,0,3.619999885559082,3.619999885559082,0
